"Landcover","Tau","Avg_Pinball_Loss"
"forested_bog",0.5,0.0123084254167078
"forested_bog",0.9,0.00659066007041261
"forested_permafrost",0.5,0.00905650008231593
"forested_permafrost",0.9,0.00765249002878099
"forested_poor_fen",0.5,0.0157987049454862
"forested_poor_fen",0.9,0.0110750555046232
"forested_rich_fen",0.5,0.0108911291880305
"forested_rich_fen",0.9,0.00597169461833311
"mineral",0.5,0.0171595111113341
"mineral",0.9,0.0110547208038794
"open_bog",0.5,0.0231108368704327
"open_bog",0.9,0.0152220568755996
"open_permafrost",0.5,0.00950739827845363
"open_permafrost",0.9,0.00766186287354636
"open_poor_fen",0.5,0.0123864751807342
"open_poor_fen",0.9,0.00639011555508525
"open_rich_fen",0.5,0.00925422042800733
"open_rich_fen",0.9,0.00778854083229936
"total_bog",0.5,0.0171865271615466
"total_bog",0.9,0.00932737239880372
"total_permafrost",0.5,0.0084560464391323
"total_permafrost",0.9,0.00629576017135079
"total_poor_fen",0.5,0.0141681142722683
"total_poor_fen",0.9,0.00885592414066638
"total_rich_fen",0.5,0.00917469044832136
"total_rich_fen",0.9,0.00578338714667224
"treed_bog",0.5,0.0124155462068001
"treed_bog",0.9,0.0059336131753337
"treed_permafrost",0.5,0.0108591835817821
"treed_permafrost",0.9,0.00919450536752067
"treed_poor_fen",0.5,0.010651734757063
"treed_poor_fen",0.9,0.00649607806385071
"treed_rich_fen",0.5,0.0117417681413137
"treed_rich_fen",0.9,0.00727431776999235
"upland",0.5,0.0142713429126137
"upland",0.9,0.0113720799943603
